updated 6/15/2021,,,,,,,,
,"This information is being made available to facilitate the sharing of the quality, improved data that the Center for Responsive Politics works hard to provide.   Should you find this information useful, please consider supporting the work of the Center with a donation:  http://opensecrets.org/donate/  Whether you use this information to provide relevant links to our web site, www.OpenSecrets.org , or to use CRP's APIs, available at www.OpenSecrets.org/resources/create/apis.php , please make sure to credit the Center for Responsive Politics and/or OpenSecrets.org.  And remember, Federal law prohibits the use of contributor information for the purpose of soliciting contributions or for any commercial purpose.",,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,CID,CRPName,Party,DistIDRunFor,FECCandID,,,
,N00047923,"Aazami, Shervin",D,CA30,H2CA30291,,,
,N00048268,"Abdelhamid, Rana",D,NY12,H2NY12197,,,
,N00048100,"Abud, Edward",D,FLS2,S2FL00482,,,
,N00048254,"Acciard, Julian",R,NH01,H2NH01254,,,
,N00048052,"Acheson, Phelan",I,UT02,H2UT02431,,,
,N00039865,"Acker, Brandon",D,NC07,H8NC07093,,,
,N00048242,"Ackerman, Michael",R,NC05,H2NC05165,,,
,N00035451,"Adams, Alma",D,NC12,H4NC12100,,,
,N00003028,"Aderholt, Robert B",R,AL04,H6AL04098,,,
,N00045245,"Adkins, Amanda",R,KS03,H0KS03236,,,
,N00048271,"Agan, Jeffrey Jr",D,OH05,H2OH05054,,,
,N00045227,"Aguilar, Erick",R,FL04,H0FL04140,,,
,N00033997,"Aguilar, Pete",D,CA31,H2CA31125,,,
,N00048212,"Ahmed, Junaid",D,IL08,H2IL08146,,,
,N00048095,"Ainsworth, Brian",R,CAS1,S2CA00963,,,
,N00047996,"Alexander, Timothy C",D,NJ02,H2NJ02193,,,
,N00047877,"Allen, Brian",R,PA10,H2PA10108,,,
,N00048214,"Allen, Corey",R,IL17,H2IL17105,,,
,N00048575,"Allen, Graham",R,SC07,H2SC07256,,,
,N00033720,"Allen, Richard W",R,GA12,H2GA12121,,,
,N00048297,"Allison, Tammy",D,TX06,H2TX06277,,,
,N00040989,"Allred, Colin",D,TX32,H8TX32098,,,
,N00046982,"Alvarez, Andrew",R,TX22,H2TX22134,,,
,N00048460,"Amato, Bruno",D,CA23,H2CA23148,,,
,N00031177,"Amodei, Mark",R,NV02,H2NV02395,,,
,N00047855,"Anabilah-Azumah, Joel",I,NYS2,S2NY00341,,,
,N00046698,"Anantatmula, Manga",R,VA11,H0VA11127,,,
,N00047987,"Anders, Bob",R,MO02,H2MO02169,,,
,N00048050,"Anderson, David Jr",D,TX35,H2TX35102,,,
,N00048144,"Anderson, Terell",D,AL02,H2AL02158,,,
