updated 11/13/20,,,,,
,"This information is being made available to facilitate the sharing of the quality, improved data that the Center for Responsive Politics works hard to provide.   Should you find this information useful, please consider supporting the work of the Center with a donation:  http://opensecrets.org/donate/  Whether you use this information to provide relevant links to our web site, www.OpenSecrets.org , or to use CRP's APIs, available at www.OpenSecrets.org/resources/create/apis.php , please make sure to credit the Center for Responsive Politics and/or OpenSecrets.org.  And remember, Federal law prohibits the use of contributor information for the purpose of soliciting contributions or for any commercial purpose.",,,,
,,,,,
,,,,,
,,,,,
CID,CRPName,Party,DistIDRunFor,FECCandID,
N00012937,"Abair, Peter Jon",R,MA01,H0MA01024,
N00003385,"Abbott, Raymond",D,KY03,H4KY03095,
N00013475,"Abel, Matthew R",3,MIS2,S0MI00155,
N00007665,"Abercrombie, Neil",D,HI01,H6HI01121,
N00004094,"Abraham, Spencer",R,MIS2,S4MI00165,
N00009825,"Acevedo-Vila, Anibal",3,PR00,H8PR00054,
N00006858,"Acker, Bruce R",L,CA25,H6CA25110,
N00001143,"Ackerman, Gary",D,NY05,H4NY07011,
N00013273,"Actis, Ronald George",R,MI05,H0MI05055,
N00008278,"Adam, Iris",3,CA47,H6CA47023,
N00012853,"Adam, Nat",3,CA43,H0CA43090,
N00012964,"Adams, James R",R,NC07,H0NC07082,
N00012690,"Adams, Ken ",3,CA05,H0CA05057,
N00002485,"Adams, Theodore Capers Jr",3,SC04,H6SC04049,
N00013485,"Adefope, John O",3,NYS1,S0NY00352,
N00003028,"Aderholt, Robert B",R,AL04,H6AL04098,
N00012930,"Adkins, Garry P",R,WVS1,S0WV00074,
N00013649,"Afran, Bruce Ira",3,NJS1,S0NJ00126,
N00013264,"Agrawal, J P",D,GA03,H0GA03025,
N00008276,"Aguirre, J Carlos",3,CA22,H6CA46074,
N00013018,"Ahrens, Anna Lee",3,TX03,H0TX03062,
N00012794,"Ahumada, Pat",R,TX27,H0TX27012,
N00007653,"Akaka, Daniel K",D,HIS2,S0HI00084,
N00013050,"Aker, Deborah",3,TX19,H0TX19035,
N00009677,"Akin, Todd",R,MO02,H0MO02148,
N00013546,"Albares, Edwin J (Eddie)",3,LA03,H0LA03091,
N00003645,"Alberty, Paul",R,OH17,H8OH17056,
N00009888,"Alexander, Lamar",R,PRES,P60003225,
N00013680,"Ali, Na'Ilah",L,IN10,H0IN10086,
N00009957,"Allen, George",R,VAS1,S8VA00214,
N00003975,"Allen, Patricia R",3,MI08,H6MI08189,
N00000469,"Allen, Tom H",D,ME01,H6ME01157,
N00013463,"Allen-Cartwright, Gail Debra",I,GA11,H0GA11010,
N00006922,"Allison, M Lawrence",3,CA28,H8CA28151,
N00013215,"Altemus, Teresa L",R,VA01,H0VA01136,
N00001855,"Altman, Sidney",D,MDS1,S0MD00218,
