updated 12/20/2018,,,,,,,,
,"This information is being made available to facilitate the sharing of the quality, improved data that the Center for Responsive Politics works hard to provide.   Should you find this information useful, please consider supporting the work of the Center with a donation:  http://opensecrets.org/donate/  Whether you use this information to provide relevant links to our web site, www.OpenSecrets.org , or to use CRP's APIs, available at www.OpenSecrets.org/resources/create/apis.php , please make sure to credit the Center for Responsive Politics and/or OpenSecrets.org.  And remember, Federal law prohibits the use of contributor information for the purpose of soliciting contributions or for any commercial purpose.",,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,CID,CRPName,Party,DistIDRunFor,FECCandID,,,
,N00034296,"Aalders, Tim",3,UT04,H4UT04052,,,
,N00035217,"Abbott, Richard Allen IV",D,MI03,H4MI03201,,,
,N00035490,"Abeler, Jim",R,MNS1,S4MN00353,,,
,N00036765,"Ables, Wayne",D,LAS1,S4LA00156,,,
,N00036389,Abraham,3,UT03,H4UT03187,,,
,N00036633,"Abraham, Ralph",R,LA05,H4LA05221,,,
,N00035926,"Abrahams, Kevan",D,NY04,H4NY04067,,,
,N00027398,"Acosta, Raul",I,COS2,S4CO00296,,,
,N00029081,"Adame, Marhshall",D,NC03,H8NC03043,,,
,N00035451,"Adams, Alma",D,NC12,H4NC12100,,,
,N00035446,"Adams, Danielle",D,NC06,H4NC06078,,,
,N00035664,"Adams, Dirk",D,MTS2,S4MT00100,,,
,N00032432,"Adams, John",R,OH03,H0OH15099,,,
,N00035389,"Adams, Steve",R,CA41,H4CA41120,,,
,N00035672,"Adams, Terry Glen Jr",D,TNS2,S4TN00328,,,
,N00036376,"Adams, Thomas A",D,SC05,H4SC05058,,,
,N00031338,"Adcock, Dee",R,PA13,H0PA13080,,,
,N00034889,"Addivinola, Frank",R,MAS2,S4MA00242,,,
,N00003028,"Aderholt, Robert B",R,AL04,H6AL04098,,,
,N00036432,"Agnew, Frank Christian",R,TNS2,S4TN00369,,,
,N00033997,"Aguilar, Pete",D,CA31,H2CA31125,,,
,N00035909,"Aiken, Clay",D,NC02,H4NC02127,,,
,N00036001,"Aikens, William",L,TX28,H4TX28079,,,
,N00008433,"Ajabu, Mmoja",D,IN07,H6IN10174,,,
,N00033916,"Alameel, David",D,TXS1,S4TX00516,,,
,N00036291,"Alao, Samuel",R,MO05,H4MO05325,,,
,N00035564,"Alas, Art",R,CA32,H4CA32103,,,
,N00036483,"Alberson, Floyd Wayne",I,TN09,H4TN09071,,,
,N00035553,"Albert-Kaigler, Lula",D,AL01,H4AL01214,,,
,N00036145,"Alexander, Bryant",D,MD07,H4MD07082,,,
,N00009888,"Alexander, Lamar",R,TNS2,S2TN00058,,,
