updated 8/28/13,,,,,
,"This information is being made available to facilitate the sharing of the quality, improved data that the Center for Responsive Politics works hard to provide.   Should you find this information useful, please consider supporting the work of the Center with a donation:  http://opensecrets.org/donate/  Whether you use this information to provide relevant links to our web site, www.OpenSecrets.org , or to use CRP's APIs, available at www.OpenSecrets.org/resources/create/apis.php , please make sure to credit the Center for Responsive Politics and/or OpenSecrets.org.  And remember, Federal law prohibits the use of contributor information for the purpose of soliciting contributions or for any commercial purpose.",,,,
,,,,,
,,,,,
,,,,,
CID,CRPName,Party,DistIDRunFor,FECCandID,
N00035217,"Abbott, Richard Allen IV",D,MI03,H4MI03201,
N00035490,"Abeler, Jim",R,MNS1,S4MN00353,
N00035451,"Adams, Alma",D,NC12,H4NC12100,
N00035446,"Adams, Danielle",D,NC06,H4NC06078,
N00035389,"Adams, Steve",R,CA41,H4CA41120,
N00003028,"Aderholt, Robert B",R,AL04,H6AL04098,
N00009888,"Alexander, Lamar",R,TNS2,S2TN00058,
N00025464,"Alexander, Rodney",R,LA05,H2LA05084,
N00031938,"Amash, Justin",R,MI03,H0MI03126,
N00031177,"Amodei, Mark",R,NV02,H2NV02395,
N00035400,"Andel, Ellen",R,FL18,H4FL18050,
N00035408,"Anderson, Ikaika",D,HI01,H4HI01118,
N00035343,"Anderson, Quentin",D,LA06,H4LA06070,
N00000826,"Andrews, Robert E",D,NJ01,H0NJ01066,
N00035414,"Appel, Staci",D,IA03,H4IA03065,
N00035297,"Arkoosh, Val",D,PA13,H4PA13165,
N00034703,"Armstrong, Brandon Christina",I,SCS2,S4SC00232,
N00035259,"Arterburn, Tony Edward Jr",R,TX04,H4TX04120,
N00034426,"Assad, Mike",R,NJ02,H2NJ02128,
N00007089,"Baca, Joe",D,CA35,H6CA42099,
N00027493,"Bachmann, Michele",R,MN06,H6MN06074,
N00008091,"Bachus, Spencer",R,AL06,H2AL06035,
N00035528,"Bailey, Bill",D,IN09,H4IN09072,
N00035345,"Balkema, Chris",R,IL11,H4IL11203,
N00033981,"Barber, Ron",D,AZ02,H2AZ08094,
N00035310,"Barfield, Jonathan",D,NC07,H4NC07068,
N00025495,"Barletta, Lou",R,PA11,H2PA11098,
N00034885,"Barnhart, Scott J",I,KS02,S4KS00119,
N00031233,"Barr, Andy",R,KY06,H0KY06104,
N00002526,"Barr, Bob",R,GA11,H4GA11053,
N00026080,"Barrow, John",D,GA12,H4GA12010,
N00005656,"Barton, Joe",R,TX06,H4TX06117,
N00031877,"Bass, Karen",D,CA37,H0CA33117,
N00035448,"Battle, George III",D,NC12,H4NC12076,
N00035475,"Baumgardner, Randy",R,COS2,S4CO00346,
N00035341,"Bayne, Ian L",R,IL11,H4IL11211,
N00035225,"Beale, Anthony A",D,IL02,H4IL02178,
