updated 12/20/2018,,,,,,,,
,"This information is being made available to facilitate the sharing of the quality, improved data that the Center for Responsive Politics works hard to provide.   Should you find this information useful, please consider supporting the work of the Center with a donation:  http://opensecrets.org/donate/  Whether you use this information to provide relevant links to our web site, www.OpenSecrets.org , or to use CRP's APIs, available at www.OpenSecrets.org/resources/create/apis.php , please make sure to credit the Center for Responsive Politics and/or OpenSecrets.org.  And remember, Federal law prohibits the use of contributor information for the purpose of soliciting contributions or for any commercial purpose.",,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,CID,CRPName,Party,DistIDRunFor,FECCandID,,,
,N00040419,"Abatecola, Bill",R,AZ03,H6AZ03245,,,
,N00036633,"Abraham, Ralph",R,LA05,H4LA05221,,,
,N00039682,"Accavitti, Frank Jr",D,MI10,H6MI10227,,,
,N00037014,"Achadjian, Katcho",R,CA24,H6CA24295,,,
,N00040046,"Ackley, Gordon P",R,VI00,H6VI01024,,,
,N00035451,"Adams, Alma",D,NC12,H4NC12100,,,
,N00040551,"Adams, Ann-Marie",I,CT05,H6CT05173,,,
,N00036990,"Adams, Boyce",R,MS01,H5MS01067,,,
,N00037273,"Adams, David",R,FL27,H6FL26017,,,
,N00037274,"Adams, Desmund",D,IA03,H6IA03235,,,
,N00027843,"Adams, Eddie",R,FL14,H6FL11175,,,
,N00032432,"Adams, John",R,OH03,H0OH15099,,,
,N00040030,"Adams, Judy",D,MN06,H6MN06173,,,
,N00039496,"Adams, Scott",I,CA38,H6CA38113,,,
,N00036926,"Adcock, Sam",R,MS01,H5MS01034,,,
,N00040372,"Addy, Claudia",I,IA03,H6IA03250,,,
,N00003028,"Aderholt, Robert B",R,AL04,H6AL04098,,,
,N00039680,"Adkins, Alex",D,HI01,H6HI01204,,,
,N00033165,"Agbede, Akinyemi",D,CAS1,S6CA00634,,,
,N00039294,"Agra, John",R,AZ09,H6AZ09036,,,
,N00033997,"Aguilar, Pete",D,CA31,H2CA31125,,,
,N00039752,"Ahmed, Kaisar",D,CA31,H6CA31159,,,
,N00037402,"Alam, MD",D,MOS1,S6MO00388,,,
,N00039383,"Alarcon, Richard",D,CA29,H6CA29229,,,
,N00038843,"Albarran, Charlene",D,UT02,H6UT02390,,,
,N00036483,"Alberson, Floyd Wayne",R,TN09,H4TN09071,,,
,N00039147,"Albertson, Ed",D,OH12,H6OH12127,,,
,N00036917,"Albertson, Stewart",D,CAS1,S6CA00618,,,
,N00008598,"Alciere, Tom",R,NHS1,S4NH00062,,,
,N00030533,"Aldrich, Charles",L,IAS1,S6IA00165,,,
,N00040042,"Aleong, Kevin",I,NY27,H6NY27188,,,
