updated 11/13/20,,,,,
,"This information is being made available to facilitate the sharing of the quality, improved data that the Center for Responsive Politics works hard to provide.   Should you find this information useful, please consider supporting the work of the Center with a donation:  http://opensecrets.org/donate/  Whether you use this information to provide relevant links to our web site, www.OpenSecrets.org , or to use CRP's APIs, available at www.OpenSecrets.org/resources/create/apis.php , please make sure to credit the Center for Responsive Politics and/or OpenSecrets.org.  And remember, Federal law prohibits the use of contributor information for the purpose of soliciting contributions or for any commercial purpose.",,,,
,,,,,
,,,,,
,,,,,
CID,CRPName,Party,DistIDRunFor,FECCandID,
N00028291,"Abate, Camille Marie",D,NJ05,H6NJ05155,
N00029272,"Abboud, Robert",D,IL16,H8IL16062,
N00007665,"Abercrombie, Neil",D,HI01,H6HI01121,
N00029502,"Abernathy, Iain",3,IL08,H8IL08093,
N00025789,"Abrams, Thomas D",I,NJ07,H6NJ07136,
N00029673,"Abramson, Paul",R,IN08,H8IN08125,
N00001143,"Ackerman, Gary",D,NY05,H4NY07011,
N00014035,"Ackerson, Nels",D,IN04,H8IN04108,
N00029081,"Adame, Marhshall",D,NC03,H8NC03043,
N00027843,"Adams, Eddie",R,FL11,H6FL11175,
N00029804,"Adams, Fred M",R,IDS1,S8ID00134,
N00029280,"Adams, Jon",D,NM01,H8NM01240,
N00003028,"Aderholt, Robert B",R,AL04,H6AL04098,
N00030472,"Adkins, Will",L,NC02,H8NC02045,
N00000812,"Adler, John H",D,NJ03,H8NJ03156,
N00029106,"Affeldt, Allan",D,AZ01,H8AZ01088,
N00029954,"Agrella, Christopher",L,CA38,H8CA38101,
N00009677,"Akin, Todd",R,MO02,H0MO02148,
N00008598,"Alciere, Tom",R,NHS2,S4NH00062,
N00030533,"Aldrich, Charles",L,MNS1,S8MN00545,
N00029271,"Alesch, Steven J",3,IL13,H8IL13101,
N00027019,"Alexander, Bob",D,MI08,H4MI08085,
N00030356,"Alexander, Caren",3,NV01,H8NV01253,
N00009888,"Alexander, Lamar",R,TNS2,S2TN00058,
N00029787,"Alexander, Lori P",D,VA11,H8VA11054,
N00025464,"Alexander, Rodney",R,LA05,H2LA05084,
N00003858,"Alfred, Clayton Linsley",R,IN05,H4IN05070,
N00029984,"Allbritton, Richard",D,FL21,H8FL21048,
N00030516,"Allen, Janice Lee",I,VA06,H8VA06062,
N00029690,"Allen, Joseph William",D,MO08,H8MO08072,
N00000469,"Allen, Tom H",D,MES2,S8ME00080,
N00027664,"Altmire, Jason",D,PA04,H6PA04110,
N00026955,"Amar, A D",R,NJ07,H4NJ07073,
N00013309,"America, Anthony",3,MIS1,S8MI00323,
N00028772,"Amsterdam, C Kaui Jochanan",L,HI01,H8HI01176,
N00029109,"Andal, Dean F",R,CA11,H8CA11082,
N00030415,"Anderson, Bob",3,MN06,H8MN06088,
